date,open,open_pred,is_high_vol,is_low_vol,is_uptrend,is_downtrend,conformity_score,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_q1,is_q2,is_q3,is_q4,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
2019-01-22,148.0382726761916,134.27496531577165,1,0,1,0,13.763307360419958,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,147.12542791447743,135.88898450792925,1,0,1,0,11.236443406548176,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,143.51376723752094,136.60048988555673,0,1,1,0,6.9132773519642114,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,146.33166107014597,137.42366746882215,0,1,1,0,8.907993601323824,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,146.89723255465768,137.52206734169917,0,1,1,0,9.375165212958507,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,146.93693418178714,138.5352153013679,0,1,1,0,8.401718880419224,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-30,145.0814848865154,140.05870941271002,0,1,1,0,5.022775473805382,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,164.31055031938493,140.44654650952413,0,1,1,0,23.864003809860804,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,164.54870098449308,142.47994167568896,1,0,1,0,22.06875930880412,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-04,164.4098128946608,143.76173081657305,0,1,1,0,20.648082078087754,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-05,167.8329267133362,145.68386138293047,0,1,1,0,22.149065330405733,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-06,169.86695397540728,148.06419439382648,0,1,1,0,21.8027595815808,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-07,166.8903394739392,150.02843543571612,0,1,1,0,16.861904038223088,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-08,163.18938317234253,151.8748569154239,0,1,1,0,11.31452625691864,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-11,166.592671206755,153.6048591509911,0,1,1,0,12.987812055763897,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-12,165.56076463790257,155.68651186806147,0,1,1,0,9.874252769841092,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-13,164.09227776533976,156.6354372970954,1,0,1,0,7.456840468244366,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-14,161.91935444271346,157.8813387586623,1,0,1,0,4.038015684051146,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-15,163.22905458754357,159.15291765051904,1,0,1,0,4.076136937024529,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-19,159.25031118848474,160.88810147788317,0,1,1,0,1.6377902893984242,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-20,160.98668190511842,161.6088367843584,1,0,1,0,0.6221548792399858,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-21,160.66913680947994,162.42145986328433,1,0,1,0,1.752323053804389,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-22,159.3296430660668,163.57026012426434,1,0,1,0,4.240617058197529,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-25,161.80027685335008,164.3226438728339,1,0,1,0,2.5223670194838235,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-26,163.06039191607837,165.29916128301082,0,1,1,0,2.238769366932445,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-27,161.63162349010702,166.14861906258332,0,1,1,0,4.516995572476304,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-02-28,161.1057210686007,166.36732622737532,0,1,1,0,5.261605158774614,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-03-01,161.33393406963486,167.1731664605612,0,1,1,0,5.839232390926327,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-03-04,162.62380526816932,167.87701841477036,0,1,1,0,5.253213146601041,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
